iter	Logloss
0	0.4729242781
1	0.391848566
2	0.3706396015
3	0.3438663108
4	0.3321313426
5	0.325230089
6	0.3210585689
7	0.3164624504
8	0.3133803099
9	0.3079148668
10	0.3059439596
11	0.3021987622
12	0.3007497974
13	0.2984034497
14	0.2966539434
15	0.2952977506
16	0.293835393
17	0.2907898948
18	0.289931894
19	0.2889416989
20	0.288030246
21	0.2874832792
22	0.2866708626
23	0.2861169911
24	0.2856861855
25	0.2854990278
26	0.2851460565
27	0.2843839846
28	0.2837587842
29	0.2830828523
30	0.2825827197
31	0.2811485809
32	0.2805111569
33	0.2802990021
34	0.2800784628
35	0.2796091848
36	0.2794391536
37	0.2791352952
38	0.2790605919
39	0.278620902
40	0.2782553535
41	0.2781930468
42	0.2779049045
43	0.2776554973
44	0.2758557026
45	0.2756381197
46	0.2752740118
47	0.2752451591
48	0.2747466921
49	0.2744679334
50	0.2744065186
51	0.2741249463
52	0.2739433491
53	0.2739137007
54	0.273360435
55	0.272964835
56	0.2726131851
57	0.2719617748
58	0.2718150703
59	0.2715659379
60	0.2713176241
61	0.271220572
62	0.270584002
63	0.2703971599
64	0.2702624251
65	0.2698671566
66	0.2697724538
67	0.2694672258
68	0.2691681369
69	0.2688726774
70	0.2684326506
71	0.2682206967
72	0.2680695727
73	0.2678810448
74	0.2672539603
75	0.2669437368
76	0.2666245192
77	0.2663077573
78	0.2661445924
