iter	Passed	Remaining
0	55	45619
1	129	52958
2	187	50895
3	242	49229
4	302	49168
5	351	47555
6	412	47786
7	471	47688
8	524	47124
9	574	46381
10	617	45238
11	698	46862
12	799	49439
13	914	52468
14	1034	55312
15	1106	55388
16	1208	56880
17	1343	59628
18	1447	60813
19	1527	60872
20	1624	61594
21	1685	60895
22	1770	61129
23	1879	62087
24	1939	61453
25	1996	60744
26	2052	60051
27	2114	59597
28	2172	59045
29	2224	58352
30	2277	57734
31	2332	57212
32	2394	56894
33	2451	56460
34	2508	56040
35	2560	55550
36	2612	55075
37	2661	54565
38	2724	54359
39	2774	53892
40	2821	53397
41	2882	53195
42	2958	53260
43	3105	54564
44	3174	54456
45	3281	55002
46	3381	55406
47	3475	55679
48	3617	56693
49	3729	57215
50	3878	58247
51	3990	58707
52	4038	58213
53	4098	57915
54	4154	57555
55	4214	57278
56	4266	56885
57	4313	56448
58	4370	56144
59	4425	55837
60	4476	55485
61	4525	55109
62	4577	54785
63	4631	54496
64	4689	54252
65	4748	54031
66	4800	53742
67	4862	53562
68	4912	53253
69	4968	53023
70	5025	52798
71	5154	53331
72	5248	53486
73	5316	53382
74	5412	53547
75	5496	53595
76	5624	54056
77	5755	54529
78	5900	55120
